apple_label,semi_major_axis,semi_minor_axis,xc,yc,theta,area,perimeter,eccentricity,volume
64e.jpg,383.68,332.66,908.19,1205.52,3.06,400971.19,2253.29,0.5,80
64f.jpg,382.65,337.97,858.67,1203.12,0.1,406285.29,2266.08,0.47,80
64g.jpg,376.87,364.86,844.73,949.19,3.07,431993.21,2330.39,0.25,80
64h.jpg,376.49,346.02,803.21,960.52,0.2,409268.6,2270.85,0.39,80
64i.jpg,377.09,343.47,867.41,981.27,0.16,406894.39,2264.93,0.41,80
65a.jpg,354.55,343.78,735.77,1176.08,1.48,382921.54,2194.0,0.24,80
65b.jpg,356.68,343.83,765.82,1173.02,2.36,385266.45,2200.87,0.27,80
65c.jpg,374.71,338.75,746.03,1136.7,2.87,398775.46,2242.83,0.43,80
65d.jpg,368.15,343.03,755.87,1125.75,0.2,396740.83,2234.94,0.36,80
65e.jpg,374.05,351.62,789.82,1103.21,0.4,413192.0,2280.3,0.34,80
65f.jpg,368.38,345.07,805.88,1121.14,0.24,399347.85,2241.96,0.35,80
65g.jpg,373.16,349.45,796.41,1153.4,3.0,409656.88,2270.73,0.35,80
65h.jpg,375.9,349.03,827.7,1149.53,2.77,412174.47,2278.21,0.37,80
65i.jpg,356.38,342.47,886.78,1228.88,2.17,383425.11,2195.71,0.28,80
65j.jpg,353.97,343.91,882.05,1173.92,1.21,382428.44,2192.54,0.24,80
66a.jpg,347.37,311.18,734.8,1093.45,1.6,339584.15,2070.44,0.44,60
66b.jpg,352.7,318.11,786.8,1043.26,2.67,352480.98,2108.82,0.43,60
66c.jpg,345.17,323.12,799.58,1093.86,0.33,350388.71,2100.08,0.35,60
66d.jpg,357.03,329.49,741.75,1055.35,1.59,369573.79,2157.64,0.39,60
66e.jpg,336.08,316.79,795.66,1030.71,2.97,334471.48,2051.49,0.33,60
66f.jpg,341.17,327.28,784.42,1050.1,1.92,350782.87,2100.22,0.28,60
66g.jpg,360.2,326.67,852.24,1043.13,1.69,369664.26,2159.16,0.42,60
66h.jpg,337.19,312.2,861.04,1037.82,2.92,330709.03,2040.85,0.38,60
66i.jpg,347.76,314.51,850.21,1015.97,1.09,343606.49,2081.89,0.43,60
66j.jpg,353.02,319.08,846.79,1022.34,3.1,353879.22,2112.83,0.43,60
67a.jpg,375.67,351.84,743.69,1103.92,3.12,415243.37,2286.16,0.35,80
67b.jpg,374.55,353.66,752.91,1086.36,0.13,416149.45,2288.22,0.33,80
67c.jpg,371.72,349.64,763.85,1149.17,0.06,408312.83,2266.77,0.34,80
67d.jpg,381.19,332.58,748.16,1102.57,0.14,398278.87,2244.97,0.49,80
67e.jpg,380.72,346.42,749.44,1119.7,0.09,414347.07,2285.66,0.41,80
67f.jpg,375.32,346.89,762.63,1120.59,3.09,409026.02,2269.79,0.38,80
67g.jpg,376.15,324.83,767.43,1151.37,0.02,383857.97,2205.16,0.5,80
67h.jpg,377.25,350.59,745.82,1119.69,2.58,415506.3,2287.34,0.37,80
67i.jpg,360.92,340.24,815.35,1102.52,2.67,385782.77,2203.23,0.33,80
67j.jpg,364.47,340.71,793.22,1036.37,0.17,390117.55,2216.01,0.36,80
68a.jpg,353.06,327.41,614.62,1095.28,2.88,363152.49,2138.51,0.37,80
68b.jpg,357.82,316.87,611.69,1086.86,2.84,356200.51,2121.55,0.46,80
68c.jpg,354.89,335.04,570.62,1108.29,2.97,373542.49,2167.93,0.33,80
68d.jpg,359.47,328.9,653.45,1088.49,0.12,371430.2,2163.65,0.4,80
68e.jpg,354.63,323.04,664.05,1079.8,0.18,359901.24,2130.12,0.41,80
68f.jpg,349.96,324.2,637.5,1064.4,3.03,356437.94,2118.72,0.38,80
68g.jpg,351.73,327.84,660.32,1055.86,0.27,362256.65,2135.58,0.36,80
68h.jpg,354.53,329.44,664.94,1101.96,0.03,366929.45,2149.49,0.37,80
68i.jpg,341.95,323.31,785.28,1090.51,2.86,347317.62,2090.37,0.33,80
68j.jpg,340.82,310.66,738.34,1124.74,2.04,332629.15,2047.78,0.41,80
68k.jpg,341.52,326.46,711.67,1130.04,2.32,350270.34,2098.81,0.29,80
69a.jpg,513.79,489.26,613.98,1150.41,1.28,789717.28,3151.63,0.31,210
69b.jpg,515.09,501.29,748.34,1104.91,2.74,811201.92,3193.22,0.23,210
69c.jpg,532.6,484.75,823.9,1045.57,1.88,811088.55,3197.86,0.41,210
69d.jpg,508.48,487.1,885.84,999.42,1.9,778112.72,3128.07,0.29,210
69e.jpg,528.59,486.15,866.18,985.8,2.09,807314.87,3189.31,0.39,210
69f.jpg,514.77,481.27,863.79,1007.44,2.34,778308.03,3130.04,0.35,210
69g.jpg,511.27,504.4,924.85,1002.55,2.97,810173.4,3190.87,0.16,210
69h.jpg,518.35,484.03,866.51,1008.23,1.06,788207.87,3149.98,0.36,210
69i.jpg,529.36,482.25,955.08,996.09,1.17,802001.64,3179.8,0.41,210
69j.jpg,505.76,493.32,909.69,966.16,1.31,783831.45,3138.82,0.22,210
69k.jpg,516.64,489.29,914.83,874.52,0.48,794159.99,3160.82,0.32,210
69l.jpg,519.17,502.17,850.61,935.18,0.49,819050.19,3208.86,0.25,210
70a.jpg,469.89,464.24,809.4,1132.03,2.89,685319.32,2934.7,0.15,165
70b.jpg,469.77,457.58,915.73,1125.59,2.8,675311.7,2913.49,0.23,165
70c.jpg,461.81,456.67,923.76,1102.28,2.83,662550.38,2885.52,0.15,165
70d.jpg,465.2,451.9,880.25,1084.6,1.8,660440.01,2881.31,0.24,165
70e.jpg,462.64,460.4,878.68,1067.71,2.21,669161.61,2899.83,0.1,165
